+--------------------+--------+--------------------------------+
| ensembl_protein_id | count  | LENGTH(proteins.sequence) * 19 |
| ENSP00000449079.1  |   6004 |                           6004 |
| ENSP00000252486.3  |   6023 |                           6023 |
| ENSP00000265720.3  |   6023 |                           6023 |
| ENSP00000268125.5  |   6023 |                           6023 |
| ENSP00000323588.1  |   6023 |                           6023 |
| ENSP00000381775.3  |   6023 |                           6023 |
| ENSP00000451605.1  |   6023 |                           6023 |
| ENSP00000257895.6  |   6042 |                           6042 |
| ENSP00000262507.5  |   6042 |                           6042 |
| ENSP00000264228.4  |   6042 |                           6042 |
| ENSP00000304364.5  |   6042 |                           6042 |
| ENSP00000326693.6  |   6042 |                           6042 |
| ENSP00000361512.4  |   6042 |                           6042 |
| ENSP00000370750.4  |   6042 |                           6042 |
| ENSP00000370839.6  |   6042 |                           6042 |
| ENSP00000281081.7  |   6061 |                           6061 |
| ENSP00000328858.8  |   6061 |                           6061 |
| ENSP00000334472.2  |   6061 |                           6061 |
| ENSP00000250003.3  |   6080 |                           6080 |
| ENSP00000300658.4  |   6080 |                           6080 |
| ENSP00000319705.5  |   6080 |                           6080 |
| ENSP00000342502.6  |   6080 |                           6080 |
| ENSP00000397818.2  |   6080 |                           6080 |
| ENSP00000498282.1  |   6080 |                           6080 |
| ENSP00000328347.4  |   6099 |                           6099 |
| ENSP00000332706.3  |   6118 |                           6118 |
| ENSP00000357066.3  |   6118 |                           6118 |
| ENSP00000300105.6  |   6137 |                           6137 |
| ENSP00000315680.3  |   6137 |                           6137 |
| ENSP00000316476.4  |   6137 |                           6137 |
| ENSP00000360269.2  |   6137 |                           6137 |
| ENSP00000362410.2  |   6137 |                           6137 |
| ENSP00000370129.4  |   6137 |                           6137 |
| ENSP00000372654.4  |   6137 |                           6137 |
| ENSP00000486058.1  |   6137 |                           6137 |
| ENSP00000239891.3  |   6156 |                           6156 |
| ENSP00000327758.4  |   6156 |                           6156 |
| ENSP00000338019.5  |   6156 |                           6156 |
| ENSP00000370736.5  |   6156 |                           6156 |
| ENSP00000495061.1  |   6156 |                           6156 |
| ENSP00000245414.4  |   6175 |                           6175 |
| ENSP00000317159.4  |   6175 |                           6175 |
| ENSP00000363614.3  |   6175 |                           6175 |
| ENSP00000433849.1  |   6175 |                           6175 |
| ENSP00000496973.1  |   6175 |                           6175 |
| ENSP00000499171.2  |   6175 |                           6175 |
| ENSP00000242375.3  |   6194 |                           6194 |
| ENSP00000262177.4  |   6194 |                           6194 |
| ENSP00000264716.4  |   6194 |                           6194 |
| ENSP00000315417.3  |   6194 |                           6194 |
| ENSP00000397087.3  |   6194 |                           6194 |
| ENSP00000407922.2  |   6194 |                           6194 |
| ENSP00000448054.1  |   6194 |                           6194 |
| ENSP00000029410.5  |   6213 |                           6213 |
| ENSP00000252037.4  |   6213 |                           6213 |
| ENSP00000260361.4  |   6213 |                           6213 |
| ENSP00000300249.4  |   6213 |                           6213 |
| ENSP00000359680.4  |   6213 |                           6213 |
| ENSP00000226413.5  |   6232 |                           6232 |
| ENSP00000231228.2  |   6232 |                           6232 |
| ENSP00000313432.6  |   6232 |                           6232 |
| ENSP00000338790.6  |   6232 |                           6232 |
| ENSP00000365687.3  |   6232 |                           6232 |
| ENSP00000271651.3  |   6251 |                           6251 |
| ENSP00000326948.2  |   6251 |                           6251 |
| ENSP00000337452.4  |   6251 |                           6251 |
| ENSP00000368496.2  |   6251 |                           6251 |
| ENSP00000243056.3  |   6270 |                           6270 |
| ENSP00000314299.5  |   6270 |                           6270 |
| ENSP00000361195.1  |   6270 |                           6270 |
| ENSP00000356489.3  |   6289 |                           6289 |
| ENSP00000360266.2  |   6289 |                           6289 |
| ENSP00000476480.2  |   6289 |                           6289 |
| ENSP00000258383.3  |   6308 |                           6308 |
| ENSP00000260653.3  |   6308 |                           6308 |
| ENSP00000299766.3  |   6308 |                           6308 |
| ENSP00000345719.4  |   6308 |                           6308 |
| ENSP00000362328.4  |   6308 |                           6308 |
| ENSP00000395337.3  |   6308 |                           6308 |
| ENSP00000478061.1  |   6308 |                           6308 |
| ENSP00000494352.1  |   6308 |                           6308 |
| ENSP00000236342.7  |   6327 |                           6327 |
| ENSP00000262844.5  |   6327 |                           6327 |
| ENSP00000343676.4  |   6327 |                           6327 |
| ENSP00000371875.5  |   6327 |                           6327 |
| ENSP00000379430.4  |   6327 |                           6327 |
| ENSP00000452762.1  |   6327 |                           6327 |
| ENSP00000193322.3  |   6346 |                           6346 |
| ENSP00000291560.2  |   6346 |                           6346 |
| ENSP00000343885.5  |   6346 |                           6346 |
| ENSP00000358207.4  |   6346 |                           6346 |
| ENSP00000379344.4  |   6346 |                           6346 |
| ENSP00000481697.1  |   6346 |                           6346 |
| ENSP00000206542.4  |   6365 |                           6365 |
| ENSP00000223215.4  |   6365 |                           6365 |
| ENSP00000265471.5  |   6365 |                           6365 |
| ENSP00000379642.1  |   6365 |                           6365 |
| ENSP00000466690.1  |   6365 |                           6365 |
| ENSP00000480732.1  |   6365 |                           6365 |
| ENSP00000494260.2  |   6365 |                           6365 |
| ENSP00000357104.1  |   6384 |                           6384 |
| ENSP00000370648.3  |   6384 |                           6384 |
| ENSP00000263579.4  |   6403 |                           6403 |
| ENSP00000290219.5  |   6403 |                           6403 |
| ENSP00000321259.3  |   6403 |                           6403 |
| ENSP00000347924.2  |   6403 |                           6403 |
| ENSP00000358565.4  |   6403 |                           6403 |
| ENSP00000398596.1  |   6403 |                           6403 |
| ENSP00000263038.4  |   6422 |                           6422 |
| ENSP00000284967.7  |   6422 |                           6422 |
| ENSP00000327070.5  |   6422 |                           6422 |
| ENSP00000364475.5  |   6422 |                           6422 |
| ENSP00000366006.5  |   6422 |                           6422 |
| ENSP00000434750.1  |   6422 |                           6422 |
| ENSP00000495718.1  |   6422 |                           6422 |
| ENSP00000248899.6  |   6441 |                           6441 |
| ENSP00000267868.3  |   6441 |                           6441 |
| ENSP00000348784.4  |   6441 |                           6441 |
| ENSP00000364486.3  |   6441 |                           6441 |
| ENSP00000364883.5  |   6441 |                           6441 |
| ENSP00000377225.3  |   6441 |                           6441 |
| ENSP00000378342.2  |   6441 |                           6441 |
| ENSP00000428112.1  |   6441 |                           6441 |
| ENSP00000216024.2  |   6460 |                           6460 |
| ENSP00000232564.3  |   6460 |                           6460 |
| ENSP00000249501.4  |   6460 |                           6460 |
| ENSP00000278903.7  |   6460 |                           6460 |
| ENSP00000318986.4  |   6460 |                           6460 |
| ENSP00000334594.8  |   6460 |                           6460 |
| ENSP00000351608.7  |   6460 |                           6460 |
| ENSP00000367872.3  |   6460 |                           6460 |
| ENSP00000295240.3  |   6479 |                           6479 |
| ENSP00000326531.8  |   6479 |                           6479 |
| ENSP00000347240.4  |   6479 |                           6479 |
| ENSP00000356552.5  |   6479 |                           6479 |
| ENSP00000478691.2  |   6479 |                           6479 |
| ENSP00000272252.5  |   6498 |                           6498 |
| ENSP00000297988.1  |   6498 |                           6498 |
| ENSP00000307259.4  |   6498 |                           6498 |
| ENSP00000369145.2  |   6498 |                           6498 |
| ENSP00000384524.2  |   6498 |                           6498 |
| ENSP00000416741.3  |   6498 |                           6498 |
| ENSP00000360497.2  |   6517 |                           6517 |
| ENSP00000364336.4  |   6517 |                           6517 |
| ENSP00000376322.3  |   6517 |                           6517 |
| ENSP00000407634.2  |   6517 |                           6517 |
| ENSP00000497310.1  |   6517 |                           6517 |
| ENSP00000366939.5  |   6536 |                           6536 |
| ENSP00000376139.4  |   6536 |                           6536 |
| ENSP00000463999.1  |   6536 |                           6536 |
| ENSP00000482660.1  |   6536 |                           6536 |
| ENSP00000482815.1  |   6536 |                           6536 |
| ENSP00000205948.6  |   6555 |                           6555 |
| ENSP00000367346.5  |   6555 |                           6555 |
| ENSP00000204961.4  |   6574 |                           6574 |
| ENSP00000230381.5  |   6574 |                           6574 |
| ENSP00000264595.2  |   6574 |                           6574 |
| ENSP00000269097.3  |   6574 |                           6574 |
| ENSP00000322343.8  |   6574 |                           6574 |
| ENSP00000329926.6  |   6574 |                           6574 |
| ENSP00000334813.3  |   6574 |                           6574 |
| ENSP00000377446.2  |   6574 |                           6574 |
| ENSP00000496044.1  |   6574 |                           6574 |
| ENSP00000345083.4  |   6593 |                           6593 |
| ENSP00000245312.3  |   6612 |                           6612 |
| ENSP00000262374.5  |   6612 |                           8816 |
| ENSP00000264995.2  |   6612 |                           6612 |
| ENSP00000296271.3  |   6612 |                           6612 |
| ENSP00000383516.3  |   6612 |                           6612 |
| ENSP00000424544.1  |   6612 |                           6612 |
| ENSP00000483375.1  |   6612 |                           6612 |
| ENSP00000216540.4  |   6631 |                           6631 |
| ENSP00000250263.7  |   6631 |                           6631 |
| ENSP00000252530.4  |   6631 |                           6631 |
| ENSP00000285018.4  |   6631 |                           6631 |
| ENSP00000301149.3  |   6631 |                           6631 |
| ENSP00000495778.1  |   6631 |                           6631 |
| ENSP00000218340.3  |   6650 |                           6650 |
| ENSP00000232461.3  |   6650 |                           6650 |
| ENSP00000261296.5  |   6650 |                           6650 |
| ENSP00000282572.4  |   6650 |                           6650 |
| ENSP00000331258.5  |   6650 |                           6650 |
| ENSP00000340736.4  |   6650 |                           6650 |
| ENSP00000418859.1  |   6650 |                           6650 |
| ENSP00000485308.1  |   6650 |                           6650 |
| ENSP00000490083.1  |   6650 |                           6650 |
| ENSP00000046087.2  |   6669 |                           6669 |
| ENSP00000251810.3  |   6669 |                           6669 |
| ENSP00000260605.8  |   6669 |                           6669 |
| ENSP00000266126.5  |   6669 |                           6669 |
| ENSP00000290167.5  |   6669 |                           6669 |
| ENSP00000309591.3  |   6669 |                           6669 |
| ENSP00000341680.6  |   6669 |                           6669 |
| ENSP00000366488.2  |   6669 |                           6669 |
| ENSP00000442626.2  |   6669 |                           6669 |
| ENSP00000266719.3  |   6688 |                           6688 |
| ENSP00000400224.3  |   6688 |                           6688 |
| ENSP00000495855.2  |   6688 |                           6688 |
| ENSP00000328364.2  |   6707 |                           6707 |
| ENSP00000379392.2  |   6707 |                           6707 |
| ENSP00000475531.1  |   6707 |                           6707 |
| ENSP00000494127.1  |   6707 |                           6707 |
| ENSP00000494504.1  |   6707 |                           6707 |
| ENSP00000496438.1  |   6707 |                           6707 |
| ENSP00000178638.3  |   6726 |                           6726 |
| ENSP00000262493.6  |   6726 |                           6726 |
| ENSP00000302216.4  |   6726 |                           6726 |
| ENSP00000327468.2  |   6726 |                           6726 |
| ENSP00000357655.4  |   6726 |                           6726 |
| ENSP00000358867.4  |   6726 |                           6726 |
| ENSP00000497260.1  |   6726 |                           6726 |
| ENSP00000505083.1  |   6726 |                           6726 |
| ENSP00000235345.5  |   6745 |                           6745 |
| ENSP00000252711.2  |   6745 |                           6745 |
| ENSP00000312999.6  |   6745 |                           6745 |
| ENSP00000428205.1  |   6745 |                           6745 |
| ENSP00000295108.3  |   6764 |                           6764 |
| ENSP00000305556.5  |   6764 |                           6764 |
| ENSP00000355672.3  |   6764 |                           6764 |
| ENSP00000359581.4  |   6764 |                           6764 |
| ENSP00000253801.1  |   6783 |                           6783 |
| ENSP00000290015.2  |   6783 |                           6783 |
| ENSP00000350124.5  |   6783 |                           6783 |
| ENSP00000497444.1  |   6783 |                           6783 |
| ENSP00000499218.1  |   6783 |                           6783 |
| ENSP00000500935.1  |   6783 |                           6783 |
| ENSP00000220822.7  |   6802 |                           6802 |
| ENSP00000265028.3  |   6802 |                           6802 |
| ENSP00000366673.5  |   6802 |                           6802 |
| ENSP00000427514.1  |   6802 |                           6802 |
| ENSP00000463851.1  |   6802 |                           6802 |
| ENSP00000078429.3  |   6821 |                           6821 |
| ENSP00000225873.3  |   6821 |                           6821 |
| ENSP00000262644.4  |   6821 |                           6821 |
| ENSP00000273430.3  |   6821 |                           6821 |
| ENSP00000286548.4  |   6821 |                           6821 |
| ENSP00000307241.6  |   6821 |                           6821 |
| ENSP00000324701.4  |   6821 |                           6821 |
| ENSP00000369251.4  |   6821 |                           6821 |
| ENSP00000370697.4  |   6821 |                           6821 |
| ENSP00000215832.7  |   6840 |                           6840 |
| ENSP00000222219.2  |   6840 |                           6840 |
| ENSP00000233826.3  |   6840 |                           6840 |
| ENSP00000235521.4  |   6840 |                           6840 |
| ENSP00000311130.6  |   6840 |                           6840 |
| ENSP00000313172.5  |   6840 |                           6840 |
| ENSP00000319635.2  |   6840 |                           6840 |
| ENSP00000337618.3  |   6840 |                           6840 |
| ENSP00000338673.7  |   6840 |                           6840 |
| ENSP00000351157.5  |   6840 |                           6840 |
| ENSP00000365551.3  |   6840 |                           6840 |
| ENSP00000505414.1  |   6840 |                           6840 |
| ENSP00000261980.2  |   6859 |                           6859 |
| ENSP00000448708.2  |   6859 |                           6859 |
| ENSP00000495996.1  |   6859 |                           6859 |
| ENSP00000498786.1  |   6859 |                           6859 |
| ENSP00000506333.1  |   6859 |                           6859 |
| ENSP00000264834.3  |   6878 |                           6878 |
| ENSP00000272928.3  |   6878 |                           6878 |
| ENSP00000443965.2  |   6878 |                           6878 |
| ENSP00000361965.4  |   6897 |                           6897 |
| ENSP00000362273.4  |   6897 |                           6897 |
| ENSP00000370607.3  |   6897 |                           6897 |
| ENSP00000284767.8  |   6916 |                           6916 |
| ENSP00000329200.2  |   6916 |                           6916 |
| ENSP00000331745.3  |   6916 |                           6916 |
| ENSP00000349689.6  |   6916 |                           6916 |
| ENSP00000358967.4  |   6916 |                           6916 |
| ENSP00000472316.1  |   6916 |                           6916 |
| ENSP00000497767.1  |   6916 |                           6916 |
| ENSP00000201586.2  |   6935 |                           6935 |
| ENSP00000359839.4  |   6935 |                           6935 |
| ENSP00000366534.4  |   6935 |                           6935 |
| ENSP00000494643.1  |   6935 |                           6935 |
| ENSP00000498702.1  |   6935 |                           6935 |
| ENSP00000508566.1  |   6935 |                           6935 |
| ENSP00000227665.4  |   6954 |                           6954 |
| ENSP00000241256.2  |   6954 |                           6954 |
| ENSP00000385746.2  |   6954 |                           6954 |
| ENSP00000490614.1  |   6954 |                           6954 |
| ENSP00000046640.4  |   6973 |                           6973 |
| ENSP00000246337.4  |   6973 |                           6973 |
| ENSP00000329715.4  |   6973 |                           6973 |
| ENSP00000332448.2  |   6973 |                           6973 |
| ENSP00000362192.1  |   6973 |                           6973 |
| ENSP00000393887.2  |   6973 |                           6973 |
| ENSP00000394617.1  |   6973 |                           6973 |
| ENSP00000224950.3  |   6992 |                           6992 |
| ENSP00000355827.5  |   6992 |                           6992 |
| ENSP00000040663.5  |   7011 |                           7011 |
| ENSP00000210060.6  |   7011 |                           7011 |
| ENSP00000297679.5  |   7011 |                           7011 |
| ENSP00000356737.4  |   7011 |                           7011 |
| ENSP00000358147.2  |   7011 |                           7011 |
| ENSP00000363318.3  |   7011 |                           7011 |
| ENSP00000293549.3  |   7030 |                           7030 |
| ENSP00000365773.3  |   7030 |                           7030 |
| ENSP00000261601.6  |   7040 |                           9386 |
| ENSP00000266014.5  |   7049 |                           7049 |
| ENSP00000354689.4  |   7049 |                           7049 |
| ENSP00000383641.3  |   7049 |                           7049 |
| ENSP00000390941.1  |   7049 |                           7049 |
| ENSP00000495761.2  |   7049 |                           7049 |
| ENSP00000496396.1  |   7049 |                           7049 |
| ENSP00000215794.7  |   7068 |                           7068 |
| ENSP00000219368.3  |   7068 |                           7068 |
| ENSP00000247005.5  |   7068 |                           7068 |
| ENSP00000341826.7  |   7068 |                           7068 |
| ENSP00000358424.3  |   7068 |                           7068 |
| ENSP00000363394.3  |   7068 |                           7068 |
| ENSP00000376434.1  |   7068 |                           7068 |
| ENSP00000492260.1  |   7068 |                           7068 |
| ENSP00000496599.1  |   7068 |                           7068 |
| ENSP00000223208.4  |   7087 |                           7087 |
| ENSP00000263702.6  |   7087 |                           7087 |
| ENSP00000330240.5  |   7087 |                           7087 |
| ENSP00000356537.6  |   7087 |                           7087 |
| ENSP00000356563.4  |   7087 |                           7087 |
| ENSP00000359297.3  |   7087 |                           7087 |
| ENSP00000364265.3  |   7087 |                           7087 |
| ENSP00000371711.3  |   7087 |                           7087 |
| ENSP00000405577.2  |   7087 |                           7087 |
| ENSP00000498546.1  |   7087 |                           7087 |
| ENSP00000272902.5  |   7106 |                           7106 |
| ENSP00000330875.3  |   7106 |                           7106 |
| ENSP00000358165.4  |   7106 |                           7106 |
| ENSP00000425905.1  |   7106 |                           7106 |
| ENSP00000233741.5  |   7125 |                           7125 |
| ENSP00000251630.4  |   7125 |                           7125 |
| ENSP00000260950.3  |   7125 |                           7125 |
| ENSP00000317192.6  |   7125 |                           7125 |
| ENSP00000341785.5  |   7125 |                           7125 |
| ENSP00000458435.1  |   7125 |                           7125 |
| ENSP00000494750.1  |   7125 |                           7125 |
| ENSP00000222718.5  |   7144 |                           7144 |
| ENSP00000260585.7  |   7144 |                           7543 |
| ENSP00000295137.3  |   7144 |                           7144 |
| ENSP00000307297.6  |   7144 |                           7144 |
| ENSP00000336701.4  |   7144 |                           7144 |
| ENSP00000350278.4  |   7144 |                           7144 |
| ENSP00000369912.2  |   7144 |                           7144 |
| ENSP00000266544.5  |   7163 |                           7163 |
| ENSP00000349016.4  |   7163 |                           7163 |
| ENSP00000353132.3  |   7163 |                           7163 |
| ENSP00000355645.3  |   7163 |                           7163 |
| ENSP00000356009.1  |   7163 |                           7163 |
| ENSP00000362674.3  |   7163 |                           7163 |
| ENSP00000304286.5  |   7182 |                           7182 |
| ENSP00000387982.3  |   7182 |                           7182 |
| ENSP00000222725.5  |   7201 |                           7201 |
| ENSP00000262426.4  |   7201 |                           7201 |
| ENSP00000331288.4  |   7201 |                           7201 |
| ENSP00000348496.3  |   7201 |                           7201 |
| ENSP00000368119.4  |   7201 |                           7201 |
| ENSP00000495557.1  |   7201 |                           7201 |
| ENSP00000261647.5  |   7220 |                           7220 |
| ENSP00000264634.4  |   7220 |                           7220 |
| ENSP00000349359.3  |   7220 |                           7220 |
| ENSP00000381101.2  |   7220 |                           7220 |
| ENSP00000376628.3  |   7239 |                           7239 |
| ENSP00000387139.3  |   7239 |                           7239 |
| ENSP00000428719.2  |   7239 |                           7239 |
| ENSP00000440449.1  |   7239 |                           7239 |
| ENSP00000464977.2  |   7239 |                           7239 |
| ENSP00000215637.2  |   7258 |                           7258 |
| ENSP00000282561.3  |   7258 |                           7258 |
| ENSP00000306754.4  |   7258 |                           7258 |
| ENSP00000334424.6  |   7258 |                           7258 |
| ENSP00000340226.3  |   7258 |                           7258 |
| ENSP00000356587.4  |   7277 |                           7277 |
| ENSP00000506641.1  |   7277 |                           7277 |
| ENSP00000324343.5  |   7296 |                           7296 |
| ENSP00000334650.1  |   7296 |                           7296 |
| ENSP00000341815.7  |   7296 |                           7296 |
| ENSP00000370521.3  |   7296 |                           7296 |
| ENSP00000484640.1  |   7296 |                           7296 |
| ENSP00000504128.1  |   7296 |                           7296 |
| ENSP00000273077.4  |   7315 |                           7315 |
| ENSP00000312770.5  |   7315 |                           7315 |
| ENSP00000370223.4  |   7315 |                           7315 |
| ENSP00000426359.1  |   7315 |                           7315 |
| ENSP00000494049.2  |   7315 |                           7315 |
| ENSP00000296411.6  |   7334 |                           7334 |
| ENSP00000352706.5  |   7334 |                           7334 |
| ENSP00000401371.2  |   7334 |                           7334 |
| ENSP00000262018.3  |   7353 |                           7353 |
| ENSP00000404438.1  |   7353 |                           7353 |
| ENSP00000295266.4  |   7372 |                           7372 |
| ENSP00000311538.8  |   7372 |                           7372 |
| ENSP00000364902.3  |   7372 |                           7372 |
| ENSP00000497112.1  |   7372 |                           7372 |
| ENSP00000220058.4  |   7391 |                           7391 |
| ENSP00000301061.4  |   7391 |                           7391 |
| ENSP00000318546.4  |   7391 |                           7391 |
| ENSP00000439245.3  |   7391 |                           7391 |
| ENSP00000221930.4  |   7410 |                           7410 |
| ENSP00000263726.2  |   7410 |                           7410 |
| ENSP00000278927.5  |   7410 |                           7410 |
| ENSP00000289473.4  |   7410 |                           7410 |
| ENSP00000345708.4  |   7410 |                           7410 |
| ENSP00000349541.4  |   7410 |                           7410 |
| ENSP00000394382.2  |   7410 |                           7410 |
| ENSP00000217244.3  |   7429 |                           7429 |
| ENSP00000350844.4  |   7429 |                           7429 |
| ENSP00000358698.4  |   7429 |                           7429 |
| ENSP00000359645.3  |   7429 |                           7429 |
| ENSP00000363680.4  |   7429 |                           7429 |
| ENSP00000473553.1  |   7429 |                           7429 |
| ENSP00000305503.3  |   7438 |                           9918 |
| ENSP00000252677.3  |   7448 |                           7448 |
| ENSP00000295588.4  |   7448 |                           7448 |
| ENSP00000302620.3  |   7448 |                           7448 |
| ENSP00000318351.5  |   7448 |                           7448 |
| ENSP00000322991.5  |   7448 |                           7448 |
| ENSP00000465930.1  |   7448 |                           7448 |
| ENSP00000289004.4  |   7467 |                           7467 |
| ENSP00000302486.5  |   7467 |                           7467 |
| ENSP00000402797.2  |   7467 |                           7467 |
| ENSP00000499017.1  |   7467 |                           7467 |
| ENSP00000306275.3  |   7486 |                           7486 |
| ENSP00000355167.2  |   7486 |                           7486 |
| ENSP00000360126.3  |   7486 |                           7486 |
| ENSP00000328983.4  |   7505 |                           7505 |
| ENSP00000345464.3  |   7505 |                           7505 |
| ENSP00000359848.3  |   7505 |                           7505 |
| ENSP00000361287.3  |   7505 |                           7505 |
| ENSP00000384400.3  |   7505 |                           7505 |
| ENSP00000490272.1  |   7505 |                           7505 |
| ENSP00000500082.3  |   7505 |                           7505 |
| ENSP00000216639.3  |   7524 |                           7524 |
| ENSP00000228510.3  |   7524 |                           7524 |
| ENSP00000247138.5  |   7524 |                           7524 |
| ENSP00000357057.3  |   7524 |                           7524 |
| ENSP00000358059.3  |   7524 |                           7524 |
| ENSP00000368104.3  |   7524 |                           7524 |
| ENSP00000501614.1  |   7524 |                           7524 |
| ENSP00000252997.2  |   7543 |                           7543 |
| ENSP00000318629.4  |   7543 |                           7543 |
| ENSP00000342392.3  |   7543 |                           7543 |
| ENSP00000360813.4  |   7543 |                           7543 |
| ENSP00000192314.6  |   7562 |                           7562 |
| ENSP00000234371.3  |   7562 |                           7562 |
| ENSP00000319179.5  |   7562 |                           7562 |
| ENSP00000341408.5  |   7562 |                           7562 |
| ENSP00000357107.4  |   7562 |                           7562 |
| ENSP00000369055.4  |   7562 |                           7562 |
| ENSP00000383923.1  |   7562 |                           7562 |
| ENSP00000430711.2  |   7562 |                           7562 |
| ENSP00000265165.1  |   7581 |                           7581 |
| ENSP00000300086.4  |   7581 |                           7581 |
| ENSP00000337354.5  |   7581 |                           7581 |
| ENSP00000358033.4  |   7581 |                           7581 |
| ENSP00000240851.4  |   7600 |                           7600 |
| ENSP00000262948.4  |   7600 |                           7600 |
| ENSP00000358423.4  |   7600 |                           7600 |
| ENSP00000370940.3  |   7600 |                           7600 |
| ENSP00000252971.5  |   7619 |                           7619 |
| ENSP00000297350.4  |   7619 |                           7619 |
| ENSP00000346879.6  |   7619 |                           7619 |
| ENSP00000376241.4  |   7619 |                           7619 |
| ENSP00000263187.3  |   7622 |                          17784 |
| ENSP00000223095.4  |   7638 |                           7638 |
| ENSP00000362573.3  |   7638 |                           7638 |
| ENSP00000419411.2  |   7638 |                           7638 |
| ENSP00000273588.3  |   7657 |                           7657 |
| ENSP00000295030.4  |   7657 |                           7657 |
| ENSP00000312356.6  |   7657 |                           7657 |
| ENSP00000327048.4  |   7657 |                           7657 |
| ENSP00000346139.4  |   7657 |                           7657 |
| ENSP00000379251.3  |   7657 |                           7657 |
| ENSP00000311687.8  |   7676 |                           7676 |
| ENSP00000316130.3  |   7676 |                           7676 |
| ENSP00000348565.4  |   7676 |                           7676 |
| ENSP00000417161.1  |   7676 |                           7676 |
| ENSP00000316786.5  |   7695 |                           7695 |
| ENSP00000342850.3  |   7695 |                           7695 |
| ENSP00000359976.3  |   7695 |                           7695 |
| ENSP00000386444.1  |   7695 |                           7695 |
| ENSP00000272190.8  |   7714 |                           7714 |
| ENSP00000404464.2  |   7714 |                           7714 |
| ENSP00000455607.1  |   7714 |                           7714 |
| ENSP00000296484.2  |   7733 |                           7733 |
| ENSP00000326381.5  |   7733 |                           7733 |
| ENSP00000245451.4  |   7752 |                           7752 |
| ENSP00000346142.4  |   7752 |                           7752 |
| ENSP00000386264.2  |   7752 |                           7752 |
| ENSP00000490149.1  |   7752 |                           7752 |
| ENSP00000360217.4  |   7771 |                           7771 |
| ENSP00000391739.2  |   7771 |                           7771 |
| ENSP00000349320.3  |   7773 |                          20729 |
| ENSP00000016171.6  |   7790 |                           7790 |
| ENSP00000200639.4  |   7790 |                           7790 |
| ENSP00000380378.4  |   7790 |                           7790 |
| ENSP00000395641.3  |   7790 |                           7790 |
| ENSP00000397373.2  |   7790 |                           7790 |
| ENSP00000482504.1  |   7790 |                           7790 |
| ENSP00000295731.5  |   7809 |                           7809 |
| ENSP00000323967.6  |   7809 |                           7809 |
| ENSP00000327509.5  |   7809 |                           7809 |
| ENSP00000379680.3  |   7809 |                           7809 |
| ENSP00000497641.1  |   7809 |                           7809 |
| ENSP00000498217.1  |   7809 |                           7809 |
| ENSP00000506975.1  |   7809 |                           7809 |
| ENSP00000219794.6  |   7828 |                           7828 |
| ENSP00000236671.2  |   7828 |                           7828 |
| ENSP00000238682.3  |   7828 |                           7828 |
| ENSP00000242592.4  |   7828 |                           7828 |
| ENSP00000253004.6  |   7828 |                           7828 |
| ENSP00000298854.2  |   7828 |                           7828 |
| ENSP00000359539.5  |   7847 |                           7847 |
| ENSP00000365858.3  |   7847 |                           7847 |
| ENSP00000460850.1  |   7847 |                           7847 |
| ENSP00000240185.4  |   7866 |                           7866 |
| ENSP00000260985.2  |   7866 |                           7866 |
| ENSP00000262238.4  |   7866 |                           7866 |
| ENSP00000297316.4  |   7866 |                           7866 |
| ENSP00000355897.4  |   7866 |                           7866 |
| ENSP00000377721.3  |   7866 |                           7866 |
| ENSP00000457230.1  |   7866 |                           7866 |
| ENSP00000281182.5  |   7885 |                           7885 |
| ENSP00000304987.2  |   7885 |                           7885 |
| ENSP00000309096.4  |   7885 |                           7885 |
| ENSP00000311899.2  |   7885 |                           7885 |
| ENSP00000324464.6  |   7885 |                           7885 |
| ENSP00000360464.3  |   7885 |                           7885 |
| ENSP00000361644.1  |   7885 |                           7885 |
| ENSP00000364782.4  |   7885 |                           7885 |
| ENSP00000365388.5  |   7885 |                           7885 |
| ENSP00000298251.4  |   7904 |                           7904 |
| ENSP00000380044.1  |   7904 |                           7904 |
| ENSP00000417764.1  |   7904 |                           7904 |
| ENSP00000452746.1  |   7904 |                           7904 |
| ENSP00000220584.4  |   7923 |                           7923 |
| ENSP00000257248.2  |   7923 |                           7923 |
| ENSP00000258411.3  |   7923 |                           7923 |
| ENSP00000331871.4  |   7923 |                           7923 |
| ENSP00000362413.4  |   7923 |                           7923 |
| ENSP00000386434.1  |   7923 |                           7923 |
| ENSP00000480301.1  |   7938 |                          21166 |
| ENSP00000254722.4  |   7942 |                           7942 |
| ENSP00000259407.2  |   7942 |                           7942 |
| ENSP00000313309.4  |   7942 |                           7942 |
| ENSP00000348211.3  |   7942 |                           7942 |
| ENSP00000350894.4  |   7942 |                           7942 |
| ENSP00000356036.1  |   7942 |                           7942 |
| ENSP00000376802.4  |   7942 |                           7942 |
| ENSP00000491316.1  |   7942 |                           7942 |
| ENSP00000496166.1  |   7942 |                           7942 |
| ENSP00000497008.1  |   7942 |                           7942 |
| ENSP00000011292.3  |   7961 |                           7961 |
| ENSP00000176183.5  |   7961 |                           7961 |
| ENSP00000352219.3  |   7961 |                           7961 |
| ENSP00000356237.4  |   7961 |                           7961 |
| ENSP00000357340.4  |   7961 |                           7961 |
| ENSP00000420270.1  |   7961 |                           7961 |
| ENSP00000433295.1  |   7961 |                           7961 |
| ENSP00000453347.2  |   7961 |                           7961 |
